id,name,given_name,family_name,identifiers,sources
ceske-budejovice:person:adela-ruiderova,Adéla Ruiderová,Adéla,Ruiderová,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:alice-stierandova,Alice Stierandová,Alice,Stierandová,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:andrea-nadravska,Andrea Nádravská,Andrea,Nádravská,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:dagmar-skodova-parmova,Dagmar Škodová Parmová,Dagmar,Škodová Parmová,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:ivo-moravec,Ivo Moravec,Ivo,Moravec,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:jan-hosek,Jan Hošek,Jan,Hošek,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:jan-kadlec,Jan Kadlec,Jan,Kadlec,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:jan-krob,Jan Krob,Jan,Krob,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:jan-michl,Jan Michl,Jan,Michl,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:jan-zahradnik,Jan Zahradník,Jan,Zahradník,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
