voter_id,with_gov,possible,gover,group_id
Vít Prýgl,1265,1390,91.0,ANO
Miroslav Kubásek,1570,1583,99.2,ANO
Kateřina Jarošová,1470,1515,97.0,ANO
Karin Podivinská,1424,1471,96.8,ANO
Karin Karasová,39,40,97.5,ANO
Karel Kalivoda,1542,1580,97.6,ANO
Pavel Kříž,1441,1468,98.2,ANO
Pavel Outrata,1565,1582,98.9,ANO
Petr Bauer,1567,1583,99.0,ANO
Petr Bořecký,1512,1557,97.1,ANO
Daniel Struž,1177,1193,98.7,ANO
Alena Gruberová,1542,1583,97.4,ANO
René Černý,1383,1422,97.3,ANO
René Novotný,1299,1361,95.4,ANO
Michal Marek,1453,1525,95.3,KDU-ČSL a STAN
Radomír Vondra,1429,1474,96.9,KDU-ČSL a STAN
Petr Hladík,969,1040,93.2,KDU-ČSL a STAN
Filip Chvátal,1467,1500,97.8,KDU-ČSL a STAN
Jaroslav Suchý,1436,1468,97.8,KDU-ČSL a STAN
Jakub Hruška,1450,1497,96.9,KDU-ČSL a STAN
Irena Matonohová,1435,1476,97.2,KDU-ČSL a STAN
Filip Leder,1376,1428,96.4,KDU-ČSL a STAN
Jitka Ivičičová,1133,1206,93.9,KDU-ČSL a STAN
Martin Maleček,1464,1561,93.8,KDU-ČSL a STAN
Pavel Urubek,1539,1583,97.2,ODS a TOP 09
Petr Kratochvíl,1421,1541,92.2,ODS a TOP 09
Martin Příborský,1535,1561,98.3,ODS a TOP 09
Robert Kerndl,1299,1493,87.0,ODS a TOP 09
Tomáš Aberl,1559,1580,98.7,ODS a TOP 09
Michal Chládek,1152,1242,92.8,ODS a TOP 09
Libor Zábranský,1019,1031,98.8,ODS a TOP 09
David Trllo,1515,1581,95.8,ODS a TOP 09
Andrea Pazderová,1471,1580,93.1,ODS a TOP 09
Vladan Krásný,1263,1319,95.8,ODS a TOP 09
Anna Putnová,1551,1581,98.1,ODS a TOP 09
Kristýna Černá,1308,1352,96.7,ODS a TOP 09
Dagmar Seidlová,1429,1459,97.9,ODS a TOP 09
David Grund,1534,1569,97.8,ODS a TOP 09
Markéta Vaňková,1569,1583,99.1,ODS a TOP 09
Jiří Herman,1492,1525,97.8,ODS a TOP 09
Tomáš Koláčný,1256,1443,87.0,Piráti
Adam Zemek,1297,1524,85.1,Piráti
Monika Lukášová Spilková,1135,1377,82.4,Piráti
Marek Lahoda,1295,1533,84.5,Piráti
Jiří Oliva,1450,1496,96.9,SOCDEM
Břetislav Štefan,1318,1461,90.2,SOCDEM
Marek Viskot,1389,1474,94.2,SOCDEM
Jiří Kment,919,1575,58.3,SPD+Trikolora
Petr Levíček,567,989,57.3,SPD+Trikolora
Blanka Borovská,880,1486,59.2,SPD+Trikolora
Leoš Prokeš,866,1582,54.7,SPD+Trikolora
Tomáš Anderle,907,1583,57.3,SPD+Trikolora
Tomáš Skřička,905,1565,57.8,SPD+Trikolora
Jana Drápalová,1172,1545,75.9,Zelení a Žít Brno
Matěj Hollan,661,1364,48.5,Zelení a Žít Brno
Jasna Flamiková,1022,1398,73.1,Zelení a Žít Brno
