voter_id,name,group_way_abs,rebeling,rebel,group_id,party_id
4923,Marcela Plesníková,945,104,11.01,ANO,ANO
5606,Jan Kolář,945,90,9.52,ANO,ANO
6651,Jan Hušbauer,945,120,12.7,ANO,ANO
5099,Martin Hrubčík,945,120,12.7,ANO,ANO
4913,Patrik Nacher,945,152,16.08,ANO,ANO
6254,Stanislav Nekolný,945,271,28.68,ANO,ANO
4915,Radomír Nepil,945,150,15.87,ANO,ANO
5810,Marta Gellová,945,108,11.43,ANO,ANO
5357,Ondřej Prokop,945,164,17.35,ANO,ANO
5147,Radmila Kleslová,945,204,21.59,ANO,ANO
6715,Lenka Vedralová,945,74,7.83,ANO,ANO
5812,Václav Bílek,945,121,12.8,ANO,ANO
6320,Martin Benkovič,945,134,14.18,ANO,ANO
6713,Barbora Rázga,945,107,11.32,ANO,ANO
6723,David Bodeček,821,26,3.17,BEZPP,BEZPP
5764,Hana Kordová Marvanová,714,54,7.56,BEZPP,BEZPP
5796,Jiří Knitl,985,59,5.99,PRAHA SOBĚ,PRAHA SOBĚ
5788,Adam Scheinherr,985,104,10.56,PRAHA SOBĚ,PRAHA SOBĚ
5782,Hana Třeštíková,985,80,8.12,PRAHA SOBĚ,PRAHA SOBĚ
5802,Pavel Zelenka,985,121,12.28,PRAHA SOBĚ,PRAHA SOBĚ
5792,Pavel Vyhnánek,985,314,31.88,PRAHA SOBĚ,PRAHA SOBĚ
5794,Kamila Matějková,985,104,10.56,PRAHA SOBĚ,PRAHA SOBĚ
5784,Petr Zeman,985,91,9.24,PRAHA SOBĚ,PRAHA SOBĚ
5908,Kristýna Drápalová,985,126,12.79,PRAHA SOBĚ,PRAHA SOBĚ
4873,Jan Čižinský,985,47,4.77,PRAHA SOBĚ,PRAHA SOBĚ
5786,Mariana Čapková,985,170,17.26,PRAHA SOBĚ,PRAHA SOBĚ
6492,Vladan Brož,985,57,5.79,PRAHA SOBĚ,PRAHA SOBĚ
6717,Bara Soukup,988,68,6.88,Piráti,Piráti
6719,Jiří Brůžek,988,41,4.15,Piráti,Piráti
5858,Eva Tylová,988,130,13.16,Piráti,Piráti
5826,Zuzana Freitas Lopesová,988,46,4.66,Piráti,Piráti
5746,Daniel Mazur,988,94,9.51,Piráti,Piráti
6022,Magdalena Valdmanová,988,39,3.95,Piráti,Piráti
5656,Viktor Mahrik,988,39,3.95,Piráti,Piráti
6721,Gabriela Lněničková,988,33,3.34,Piráti,Piráti
5760,Jaromír Beránek,988,17,1.72,Piráti,Piráti
4943,Adam Zábranský,988,88,8.91,Piráti,Piráti
6336,Jana Komrsková,988,97,9.82,Piráti,Piráti
5744,Zdeněk Hřib,988,37,3.74,Piráti,Piráti
3169,Milan Urban,957,63,6.58,SPD,SPD
6733,Josef Nerušil,957,29,3.03,SPD,SPD
6735,Zdeněk Seidl,957,114,11.91,SPD,SPD
3925,David Vodrážka,992,153,15.42,SPOLU,ODS
4350,Alexandra Udženija,992,170,17.14,SPOLU,ODS
4941,Jan Wolf,992,34,3.43,SPOLU,KDU-ČSL
4316,Bohuslav Svoboda,992,75,7.56,SPOLU,ODS
5730,Zdeněk Zajíček,992,122,12.3,SPOLU,ODS
6711,Tomáš Slabihoudek,992,58,5.85,SPOLU,TOP 09
5740,Tomáš Kaštovský,992,68,6.85,SPOLU,ODS
6705,Jiří Ptáček,992,27,2.72,SPOLU,TOP 09
5766,Jiří Pospíšil,992,98,9.88,SPOLU,TOP 09
5728,Tomáš Portlík,992,140,14.11,SPOLU,ODS
6709,Tomáš Pek,992,93,9.38,SPOLU,TOP 09
6703,Michal Hroza,992,38,3.83,SPOLU,TOP 09
6707,Pavel Mareš,992,86,8.67,SPOLU,KDU-ČSL
6044,Jakub Lepš,992,69,6.96,SPOLU,TOP 09
6516,Lucie Kubesa,992,31,3.12,SPOLU,ODS
2923,Zdeněk Kovářík,992,97,9.78,SPOLU,ODS
5776,Jan Chabr,992,85,8.57,SPOLU,TOP 09
5738,Martin Sedeke,992,227,22.88,SPOLU,ODS
6727,Antonín Klecanda,987,57,5.78,STAN,STAN
6729,David Procházka,987,86,8.71,STAN,STAN
6731,Zuzana Hamanová,987,18,1.82,STAN,STAN
5768,Petr Hlaváček,987,79,8.0,STAN,STAN
6725,Kateřina Arnotová,987,24,2.43,STAN,STAN
