voter_id,name,attended,possible,group_id,party_id,účast
5147,Radmila Kleslová,279,323,ANO,ANO,86
6651,Jan Hušbauer,241,323,ANO,ANO,75
6713,Barbora Rázga,257,323,ANO,ANO,80
5606,Jan Kolář,289,323,ANO,ANO,89
5357,Ondřej Prokop,313,323,ANO,ANO,97
6320,Martin Benkovič,244,323,ANO,ANO,76
5099,Martin Hrubčík,300,323,ANO,ANO,93
6715,Lenka Vedralová,288,323,ANO,ANO,89
6254,Stanislav Nekolný,310,323,ANO,ANO,96
4915,Radomír Nepil,229,323,ANO,ANO,71
4923,Marcela Plesníková,264,323,ANO,ANO,82
5810,Marta Gellová,312,323,ANO,ANO,97
5812,Václav Bílek,306,323,ANO,ANO,95
4913,Patrik Nacher,209,323,ANO,ANO,65
5764,Hana Kordová Marvanová,303,323,BEZPP,BEZPP,94
5796,Jiří Knitl,323,323,PRAHA SOBĚ,PRAHA SOBĚ,100
5802,Pavel Zelenka,320,323,PRAHA SOBĚ,PRAHA SOBĚ,99
5792,Pavel Vyhnánek,322,323,PRAHA SOBĚ,PRAHA SOBĚ,100
5908,Kristýna Drápalová,323,323,PRAHA SOBĚ,PRAHA SOBĚ,100
6492,Vladan Brož,322,323,PRAHA SOBĚ,PRAHA SOBĚ,100
5788,Adam Scheinherr,321,323,PRAHA SOBĚ,PRAHA SOBĚ,99
5786,Mariana Čapková,263,323,PRAHA SOBĚ,PRAHA SOBĚ,81
5784,Petr Zeman,287,323,PRAHA SOBĚ,PRAHA SOBĚ,89
5782,Hana Třeštíková,323,323,PRAHA SOBĚ,PRAHA SOBĚ,100
4873,Jan Čižinský,323,323,PRAHA SOBĚ,PRAHA SOBĚ,100
5794,Kamila Matějková,321,323,PRAHA SOBĚ,PRAHA SOBĚ,99
6336,Jana Komrsková,323,323,Piráti,Piráti,100
5760,Jaromír Beránek,283,323,Piráti,Piráti,88
5746,Daniel Mazur,323,323,Piráti,Piráti,100
5744,Zdeněk Hřib,241,323,Piráti,Piráti,75
5826,Zuzana Freitas Lopesová,318,323,Piráti,Piráti,98
5656,Viktor Mahrik,322,323,Piráti,Piráti,100
4943,Adam Zábranský,248,323,Piráti,Piráti,77
6717,Bara Soukup,323,323,Piráti,Piráti,100
6719,Jiří Brůžek,299,323,Piráti,Piráti,93
6721,Gabriela Lněničková,323,323,Piráti,Piráti,100
6723,David Bodeček,257,323,Piráti,Piráti,80
6022,Magdalena Valdmanová,320,323,Piráti,Piráti,99
5858,Eva Tylová,323,323,Piráti,Piráti,100
6735,Zdeněk Seidl,323,323,SPD,SPD,100
3169,Milan Urban,248,323,SPD,SPD,77
6733,Josef Nerušil,323,323,SPD,SPD,100
5776,Jan Chabr,323,323,SPOLU,TOP 09,100
3925,David Vodrážka,288,323,SPOLU,ODS,89
4316,Bohuslav Svoboda,319,323,SPOLU,ODS,99
4350,Alexandra Udženija,298,323,SPOLU,ODS,92
4941,Jan Wolf,323,323,SPOLU,KDU-ČSL,100
5728,Tomáš Portlík,323,323,SPOLU,ODS,100
6709,Tomáš Pek,311,323,SPOLU,TOP 09,96
6707,Pavel Mareš,323,323,SPOLU,KDU-ČSL,100
6711,Tomáš Slabihoudek,323,323,SPOLU,TOP 09,100
6703,Michal Hroza,293,323,SPOLU,TOP 09,91
5730,Zdeněk Zajíček,314,323,SPOLU,ODS,97
6516,Lucie Kubesa,323,323,SPOLU,ODS,100
5738,Martin Sedeke,323,323,SPOLU,ODS,100
5740,Tomáš Kaštovský,323,323,SPOLU,ODS,100
5766,Jiří Pospíšil,319,323,SPOLU,TOP 09,99
6044,Jakub Lepš,323,323,SPOLU,TOP 09,100
6705,Jiří Ptáček,316,323,SPOLU,TOP 09,98
2923,Zdeněk Kovářík,321,323,SPOLU,ODS,99
5768,Petr Hlaváček,282,323,STAN,STAN,87
6725,Kateřina Arnotová,323,323,STAN,STAN,100
6727,Antonín Klecanda,248,323,STAN,STAN,77
6729,David Procházka,278,323,STAN,STAN,86
6731,Zuzana Hamanová,266,323,STAN,STAN,82
