voter_id,name,group_way_abs,rebeling,rebel,group_id,party_id
4915,Radomír Nepil,581,104,17.9,ANO,ANO
5606,Jan Kolář,581,47,8.09,ANO,ANO
6651,Jan Hušbauer,581,74,12.74,ANO,ANO
5099,Martin Hrubčík,581,51,8.78,ANO,ANO
4913,Patrik Nacher,581,86,14.8,ANO,ANO
6254,Stanislav Nekolný,581,153,26.33,ANO,ANO
5810,Marta Gellová,581,58,9.98,ANO,ANO
4923,Marcela Plesníková,581,46,7.92,ANO,ANO
5147,Radmila Kleslová,581,116,19.97,ANO,ANO
6713,Barbora Rázga,581,54,9.29,ANO,ANO
6715,Lenka Vedralová,581,36,6.2,ANO,ANO
5812,Václav Bílek,581,53,9.12,ANO,ANO
6320,Martin Benkovič,581,55,9.47,ANO,ANO
5357,Ondřej Prokop,581,92,15.83,ANO,ANO
5764,Hana Kordová Marvanová,503,54,10.74,BEZPP,BEZPP
5796,Jiří Knitl,611,36,5.89,PRAHA SOBĚ,PRAHA SOBĚ
5788,Adam Scheinherr,611,40,6.55,PRAHA SOBĚ,PRAHA SOBĚ
5782,Hana Třeštíková,611,42,6.87,PRAHA SOBĚ,PRAHA SOBĚ
5802,Pavel Zelenka,611,86,14.08,PRAHA SOBĚ,PRAHA SOBĚ
5792,Pavel Vyhnánek,611,157,25.7,PRAHA SOBĚ,PRAHA SOBĚ
5794,Kamila Matějková,611,62,10.15,PRAHA SOBĚ,PRAHA SOBĚ
5784,Petr Zeman,611,57,9.33,PRAHA SOBĚ,PRAHA SOBĚ
4873,Jan Čižinský,611,28,4.58,PRAHA SOBĚ,PRAHA SOBĚ
5786,Mariana Čapková,611,62,10.15,PRAHA SOBĚ,PRAHA SOBĚ
6492,Vladan Brož,611,28,4.58,PRAHA SOBĚ,PRAHA SOBĚ
5908,Kristýna Drápalová,611,58,9.49,PRAHA SOBĚ,PRAHA SOBĚ
6717,Bara Soukup,610,30,4.92,Piráti,Piráti
5858,Eva Tylová,610,83,13.61,Piráti,Piráti
5826,Zuzana Freitas Lopesová,610,18,2.95,Piráti,Piráti
6719,Jiří Brůžek,610,22,3.61,Piráti,Piráti
5746,Daniel Mazur,610,41,6.72,Piráti,Piráti
6723,David Bodeček,610,26,4.26,Piráti,Piráti
6022,Magdalena Valdmanová,610,25,4.1,Piráti,Piráti
5656,Viktor Mahrik,610,23,3.77,Piráti,Piráti
6721,Gabriela Lněničková,610,24,3.93,Piráti,Piráti
5760,Jaromír Beránek,610,10,1.64,Piráti,Piráti
4943,Adam Zábranský,610,52,8.52,Piráti,Piráti
5744,Zdeněk Hřib,610,19,3.11,Piráti,Piráti
6336,Jana Komrsková,610,49,8.03,Piráti,Piráti
3169,Milan Urban,605,37,6.12,SPD,SPD
6733,Josef Nerušil,605,15,2.48,SPD,SPD
6735,Zdeněk Seidl,605,69,11.4,SPD,SPD
4350,Alexandra Udženija,614,109,17.75,SPOLU,ODS
4941,Jan Wolf,614,24,3.91,SPOLU,KDU-ČSL
4316,Bohuslav Svoboda,614,46,7.49,SPOLU,ODS
6711,Tomáš Slabihoudek,614,47,7.65,SPOLU,TOP 09
5730,Zdeněk Zajíček,614,61,9.93,SPOLU,ODS
3925,David Vodrážka,614,93,15.15,SPOLU,ODS
5740,Tomáš Kaštovský,614,37,6.03,SPOLU,ODS
6705,Jiří Ptáček,614,20,3.26,SPOLU,TOP 09
5766,Jiří Pospíšil,614,51,8.31,SPOLU,TOP 09
5728,Tomáš Portlík,614,115,18.73,SPOLU,ODS
6709,Tomáš Pek,614,58,9.45,SPOLU,TOP 09
6703,Michal Hroza,614,23,3.75,SPOLU,TOP 09
6707,Pavel Mareš,614,65,10.59,SPOLU,KDU-ČSL
6044,Jakub Lepš,614,50,8.14,SPOLU,TOP 09
6516,Lucie Kubesa,614,15,2.44,SPOLU,ODS
2923,Zdeněk Kovářík,614,55,8.96,SPOLU,ODS
5776,Jan Chabr,614,66,10.75,SPOLU,TOP 09
5738,Martin Sedeke,614,109,17.75,SPOLU,ODS
6727,Antonín Klecanda,612,45,7.35,STAN,STAN
6729,David Procházka,612,48,7.84,STAN,STAN
6731,Zuzana Hamanová,612,15,2.45,STAN,STAN
5768,Petr Hlaváček,612,48,7.84,STAN,STAN
6725,Kateřina Arnotová,612,19,3.1,STAN,STAN
