id,name,given_name,family_name,identifiers,sources
usti-nad-labem:person:alena-pinkasova,Alena Pinkasová,Alena,Pinkasová,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:bohumil-jezek,Bohumil Ježek,Bohumil,Ježek,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:dusan-oslej,Dušan Oslej,Dušan,Oslej,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:eva-fialova,Eva Fialová,Eva,Fialová,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:eva-novakova,Eva Nováková,Eva,Nováková,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:jan-bartonicek,Jan Bartoníček,Jan,Bartoníček,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:jan-hrouda,Jan Hrouda,Jan,Hrouda,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:jana-kocarkova-maredova,Jana Kočárková Maredová,Jana,Kočárková Maredová,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:jaromir-hula,Jaromír Hůla,Jaromír,Hůla,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:jaroslav-pem,Jaroslav Pém,Jaroslav,Pém,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:jiri-horak,Jiří Horák,Jiří,Horák,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:jiri-krois,Jiří Krois,Jiří,Krois,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:jiri-madar,Jiří Madar,Jiří,Madar,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:jiri-valenta,Jiří Valenta,Jiří,Valenta,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:josef-holub,Josef Holub,Josef,Holub,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:karolina-zakovska,Karolína Žákovská,Karolína,Žákovská,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:katerina-pejznochova,Kateřina Pejznochová,Kateřina,Pejznochová,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:lenka-vonka-cerna,Lenka Vonka Černá,Lenka,Vonka Černá,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
